1,20,...흐음...,오진우,하루 끝,
1,21,"그, 여기 아메리카노 핫으로 하나 부탁하네.",,,
1,22,맛있게 만들어 달라구~,,,
1,23,오 잘 마시겠네.,,잘 줬으면 탈출엔딩 +1.,
1,24,잔돈은 팁일세. 잘 받으시게나.,,,
1,25,뭐?,,,
1,26,현금을 받지 않는다고? 감정토큰은 또 뭐야?!,,,
1,27,오호라 이런 게 생겼구만... 이거 좀 괜찮겠는데?,,,
1,28,"어쨌든 젊은이, 좋은 걸 알려줘서 고맙네.",,,
1,29,아까 그 돈은 자네가 그냥 가지게. 좋은 걸 알려줬으니.,,,
5,0,"이봐, 이봐.",,하루 중간에,
5,1,자네 나 기억하나? 최근에 한 번 왔었는데 말이야.,,,
5,2,그 감정 토큰이라는 거 혹시 내가 좀 가질 수 있겠나?,,,
5,3,물론 공짜로 받겠다는 건 아니지.,,,
5,4,주는 만큼 자네에게 가는 게 있을 것일세. 기브 앤 테이크 말일세.,,,
5,5,토큰 한 개 당 (가격)원 정도면 괜찮은 거래일 것 같은데.. 어떻게 생각하는가?,,0개: 엔딩 -1 // 1~3개: 엔딩 +1 // 4개 이상: 엔딩 +2,최대 10개까지
5,6,(받은수량)개 받았네.,줄 수 없다고? 그것 참 실망이구만.,감정 토큰 1개당 10만원..?,
5,7,여기 (가격)원일세. 잘 받으시게나. 정말 고맙네~,,,
8,15,오랜만일세.,,하루 중간에,
8,16,"아, 오늘은 커피를 마시러 온 게 아니라...",,,
8,17,부탁을 하나 하려고 왔네.,,,
8,18,혹시 나중에 갈색 코트를 입은 여자가 오면 이걸 전해줄 수 있겠나?,,,
8,19,"그래, 비밀 임무라고 하면 좋겠군.",,,
8,20,절대로 경찰에게 들켜선 안되는 물건일세.,,,
8,21,혹시 이런 일에 엮이기 싫다면 주지 않아도 괜찮네.,,,
8,22,난 자네의 의사를 존중하니까.,,,
8,23,그럼 잘 부탁하네.,,,
